name,space_id,color
U-701 - Offwhite,0,fffef8
U-702 - Sól Morska,0,FDFCF7
U-703 - Ral 9010,0,fefaed
U-704 - Zamkowa Biel,0,FEFAEC
U-705 - Skorupka Jajka,0,FDFCEC
U-706 - Mróz,0,FAF8F1
U-707 - Kość Słoniowa,0,F9F9EC
U-708 - Modna Biel,0,f5f2e4
U-709 - Muszla Morska,0,ECE9DE
U-710 - Emalia,0,EFEDE6
U-711 - Szara Chmura,0,DFDDD6
U-712 - Ziarna Piasku,0,E5E0D3
U-713 - Miejski Szary,0,DDD9D2
U-714 - Szarość Miejska,0,E6E6E2
U-715 - Wydma,0,E6DFCD
U-716 - Naturalny Len,0,DCD5C3
U-717 - Szary Deszcz,0,D6D1CB
U-718 - Szara Mgła,0,D2CEC7
U-719 - Piaszczysta Wydma,0,DBD1C0
U-720 - Księźycowy Kamień,0,D1CDC3
U-721 - Jasne Khaki,0,CFC9BB
U-722 - Jasny Beton,0,CAC7BC
U-723 - Cynkowy Szary,0,C4C3BB
U-724 - Krzemowy Szary,0,C4C1B5
U-725 - Jasna Stal,0,C0BEB9
U-726 - Dymny Kwarc,0,BCB4A1
U-727 - Zachodni Wiatr,0,B1AFA6
U-728 - Szara Rezydencja,0,B0B1AD
U-729 - Szary Kamień,0,AEACA6
U-730 - Jasny Granit,0,A09E9A
U-731 - Platyna,0,939087
U-732 - Szara Burza,0,7D7973
U-733 - Siarkowa Szarość,0,686665
U-734 - Ciemny Granit,0,605D5B
U-735 - Węgiel,0,4E5152
U-736 - Karbon,0,514E4C
U-737 - Wulkaniczny Kamień,0,413E3B
U-738 - Ciemny Heban,0,282826
U-740 - Kamienny Źółty,0,EDCF9E
U-741 - Źółta Dachówka,0,F0D08C
U-742 - Ziarnisty Źółty,0,E2B464
U-743 - Źółte Wybrzeźe,0,E0B35B
U-744 - Królewski Źółty,0,D2A35A
U-750 - Mźawka,0,BFC1C4
U-751 - Tytan,0,91989C
U-752 - Zmierzch,0,636770
U-753 - Północ,0,464851
U-754 - Ciemna Noc,0,2C2F32
U-755 - Ciemne Khaki,0,CABFA6
U-756 - Bukowy Las,0,BCB393
U-757 - Słomkowy,0,959170
U-758 - Zielona Umbra,0,6b6540
U-760 - Antyczna Kość Słoniowa,0,F8EBC9
U-761 - Źółta Rezydencja,0,F4F0AE
U-762 - Źółte Wybrzeźe,0,deb35b
U-763 - Francuska Ochra,0,B78752
U-764 - Czarna Villa,0,121110
U-765 - Klif,0,E6DAC3
U-766 - Kardamon,0,D5C3A8
U-767 - Antyczny Szary,0,B3AFA3
U-768 - Szara Villa,0,7E7A71
U-769 - Ciemny Beton,0,6C6760
U-770 - Włoski Marmur,0,EEE8DF
U-771 - Szara Glina,0,CFC6B7
U-772 - Angielski Beź,0,DFCEB9
U-773 - Jasna Terracotta,0,B5977B
U-775 - Subtelna Zieleń,0,E1DDD3
U-776 - Dostojna Zieleń,0,BAB99C
U-777 - Czysty Szary,0,C9C6C6
U-778 - Szare Srebro,0,999792
U-779 - Antracyt,0,3A3E46
U-780 - Snowberry,0,FFFBEB
U-784 - Ciemny Mahoń,0,27201A
U-785 - Delikatny Beź,0,F3ECDA
U-786 - Rubinowa Czerwień,0,892112
U-787 - Wiejska Czerwień,0,64362F
U-788 - Kasztanowy Brąb,0,482C1E
U-790 - Klasyczna Szarość,0,CECDCB
U-791 - Szare Popołudnie,0,A2A6A5
U-792 - Antyczny Niebieski,0,637289
U-793 - Burza,0,505059
U-794 - Głębia Fjordu,0,3E4349
U-795 - Zwiędła Zieleń,0,989B85
U-796 - Myśliwy,0,3a543c
U-798 - Ciemny Park,0,2C3E39
U-799 - Kopenhaska Zieleń,0,242F28
